short_name,value_eur,overall,player_positions,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,nationality
J. Oblak,77500000,91,GK,87.0,92.0,78.0,89.0,52.0,90.0,Slovenia
M. ter Stegen,67500000,90,GK,88.0,85.0,88.0,90.0,45.0,88.0,Germany
Alisson,58000000,89,GK,85.0,84.0,85.0,89.0,51.0,90.0,Brazil
De Gea,56000000,89,GK,90.0,84.0,81.0,92.0,58.0,85.0,Spain
Ederson,54500000,88,GK,86.0,82.0,93.0,88.0,63.0,86.0,Brazil
T. Courtois,48000000,88,GK,85.0,89.0,72.0,87.0,49.0,85.0,Belgium
S. Handanovič,26000000,88,GK,88.0,85.0,69.0,89.0,53.0,89.0,Slovenia
M. Neuer,32000000,88,GK,87.0,87.0,91.0,87.0,57.0,85.0,Germany
H. Lloris,36000000,88,GK,89.0,82.0,68.0,91.0,63.0,84.0,France
K. Navas,30500000,87,GK,90.0,81.0,75.0,90.0,53.0,82.0,Costa Rica
W. Szczęsny,37500000,86,GK,85.0,82.0,73.0,88.0,49.0,86.0,Poland
G. Donnarumma,41500000,85,GK,90.0,80.0,74.0,90.0,50.0,80.0,Italy
A. Lopes,33500000,85,GK,87.0,80.0,75.0,89.0,64.0,84.0,Portugal
P. Gulácsi,31000000,85,GK,84.0,86.0,81.0,86.0,43.0,84.0,Hungary
R. Bürki,32000000,85,GK,86.0,80.0,74.0,89.0,50.0,83.0,Switzerland
Neto,31000000,85,GK,86.0,81.0,79.0,82.0,54.0,82.0,Brazil
Kepa,31000000,84,GK,84.0,82.0,86.0,85.0,33.0,80.0,Spain
B. Leno,26000000,84,GK,83.0,81.0,78.0,85.0,56.0,84.0,Germany
J. Pavlenka,26000000,84,GK,86.0,79.0,70.0,88.0,36.0,80.0,Czech Republic
S. Ruffier,19000000,84,GK,82.0,84.0,75.0,82.0,48.0,85.0,France
S. Sirigu,19000000,84,GK,84.0,80.0,76.0,82.0,51.0,84.0,Italy
Y. Sommer,21000000,84,GK,79.0,85.0,81.0,87.0,51.0,80.0,Switzerland
Pau López,26000000,83,GK,82.0,83.0,79.0,84.0,49.0,82.0,Spain
J. Pickford,24000000,83,GK,82.0,78.0,87.0,86.0,48.0,82.0,England
K. Casteels,22000000,83,GK,83.0,79.0,79.0,83.0,45.0,82.0,Belgium
K. Trapp,21500000,83,GK,82.0,77.0,79.0,85.0,49.0,83.0,Germany
J. Cillessen,20000000,83,GK,82.0,83.0,78.0,83.0,52.0,81.0,Netherlands
G. Buffon,2600000,83,GK,78.0,77.0,74.0,80.0,33.0,91.0,Italy
Casillas,2600000,83,GK,85.0,75.0,61.0,84.0,55.0,86.0,Spain
R. Jarstein,11500000,83,GK,79.0,82.0,76.0,84.0,43.0,86.0,Norway
K. Schmeichel,15500000,83,GK,82.0,77.0,79.0,88.0,58.0,79.0,Denmark
Rui Patrício,16500000,83,GK,84.0,80.0,77.0,82.0,55.0,81.0,Portugal
L. Hrádecký,18500000,83,GK,85.0,79.0,69.0,86.0,41.0,82.0,Finland
T. Strakosha,22000000,82,GK,84.0,78.0,75.0,87.0,44.0,79.0,Albania
A. Onana,22000000,82,GK,84.0,80.0,86.0,83.0,63.0,76.0,Cameroon
A. Areola,21000000,82,GK,85.0,79.0,80.0,84.0,55.0,78.0,France
M. Perin,21000000,82,GK,82.0,82.0,71.0,87.0,56.0,79.0,Italy
B. Lecomte,20000000,82,GK,82.0,78.0,78.0,83.0,42.0,81.0,France
Pacheco,18500000,82,GK,81.0,79.0,70.0,83.0,45.0,83.0,Spain
David Soria,19500000,82,GK,83.0,81.0,71.0,83.0,41.0,82.0,Spain
Sergio Asenjo,17000000,82,GK,84.0,82.0,77.0,81.0,56.0,80.0,Spain
O. Baumann,18000000,82,GK,82.0,80.0,70.0,84.0,49.0,79.0,Germany
Pepe Reina,3700000,82,GK,79.0,82.0,82.0,81.0,57.0,82.0,Spain
L. Fabiański,9500000,82,GK,80.0,83.0,70.0,84.0,48.0,82.0,Poland
E. Viviano,12000000,82,GK,83.0,84.0,76.0,83.0,32.0,81.0,Italy
Raphaelito Anjos,14000000,82,GK,79.0,84.0,77.0,78.0,42.0,83.0,Brazil
