short_name,value_eur,overall,player_positions,pace,shooting,passing,dribbling,defending,physic,nationality
L. Messi,95500000,94,RW,87.0,92.0,92.0,96.0,39.0,66.0,Argentina
Cristiano Ronaldo,58500000,93,ST,90.0,93.0,82.0,89.0,35.0,78.0,Portugal
Neymar Jr,105500000,92,LW,91.0,85.0,87.0,95.0,32.0,58.0,Brazil
E. Hazard,90000000,91,LW,91.0,83.0,86.0,94.0,35.0,66.0,Belgium
K. De Bruyne,90000000,91,CAM,76.0,86.0,92.0,86.0,61.0,78.0,Belgium
V. van Dijk,78000000,90,CB,77.0,60.0,70.0,71.0,90.0,86.0,Netherlands
L. Modrić,45000000,90,CM,74.0,76.0,89.0,89.0,72.0,66.0,Croatia
M. Salah,80500000,90,RW,93.0,86.0,81.0,89.0,45.0,74.0,Egypt
K. Mbappé,93500000,89,ST,96.0,84.0,78.0,90.0,39.0,75.0,France
K. Koulibaly,67500000,89,CB,71.0,28.0,54.0,67.0,89.0,87.0,Senegal
H. Kane,83000000,89,ST,70.0,91.0,79.0,81.0,47.0,83.0,England
N. Kanté,66000000,89,CDM,78.0,65.0,77.0,81.0,87.0,83.0,France
G. Chiellini,24500000,89,CB,68.0,46.0,58.0,60.0,90.0,82.0,Italy
S. Agüero,60000000,89,ST,80.0,90.0,77.0,88.0,33.0,74.0,Argentina
Sergio Ramos,31500000,89,CB,72.0,68.0,75.0,73.0,87.0,85.0,Spain
L. Suárez,53000000,89,ST,73.0,89.0,80.0,84.0,51.0,84.0,Uruguay
R. Lewandowski,64500000,89,ST,77.0,87.0,74.0,85.0,41.0,82.0,Poland
Sergio Busquets,55000000,89,CDM,42.0,62.0,80.0,80.0,85.0,80.0,Spain
A. Griezmann,69000000,89,CF,81.0,86.0,84.0,89.0,57.0,72.0,France
P. Dybala,76500000,88,CAM,83.0,82.0,84.0,90.0,43.0,64.0,Argentina
P. Pogba,72500000,88,CM,74.0,81.0,86.0,85.0,66.0,86.0,France
R. Sterling,73000000,88,RW,93.0,79.0,78.0,89.0,45.0,57.0,England
C. Eriksen,68000000,88,CAM,73.0,81.0,90.0,84.0,53.0,63.0,Denmark
Piqué,38000000,88,CB,56.0,61.0,72.0,68.0,88.0,80.0,Spain
David Silva,36000000,88,CAM,65.0,74.0,88.0,89.0,52.0,57.0,Spain
E. Cavani,47000000,88,ST,75.0,86.0,72.0,79.0,55.0,83.0,Uruguay
D. Godín,28000000,88,CB,60.0,48.0,64.0,61.0,89.0,83.0,Uruguay
T. Kroos,57000000,88,CM,45.0,80.0,90.0,81.0,70.0,69.0,Germany
M. Reus,56000000,88,CAM,85.0,88.0,84.0,87.0,45.0,66.0,Germany
P. Aubameyang,57000000,88,ST,94.0,85.0,75.0,80.0,37.0,69.0,Gabon
S. Mané,62000000,88,LW,94.0,83.0,77.0,89.0,44.0,74.0,Senegal
A. Laporte,56500000,87,CB,64.0,50.0,71.0,68.0,88.0,82.0,France
Bernardo Silva,64000000,87,RW,81.0,76.0,83.0,92.0,51.0,67.0,Portugal
Casemiro,53500000,87,CDM,62.0,72.0,75.0,72.0,85.0,89.0,Brazil
H. Son,60000000,87,CF,88.0,86.0,80.0,87.0,42.0,68.0,Korea Republic
Fernandinho,19500000,87,CDM,66.0,74.0,79.0,78.0,84.0,79.0,Brazil
Thiago Silva,18500000,87,CB,62.0,54.0,72.0,72.0,87.0,78.0,Brazil
K. Benzema,45000000,87,CF,76.0,82.0,80.0,86.0,39.0,77.0,France
J. Vertonghen,32500000,87,CB,63.0,63.0,74.0,72.0,87.0,79.0,Belgium
D. Mertens,40000000,87,CF,88.0,83.0,80.0,91.0,35.0,53.0,Belgium
M. Hummels,41000000,87,CB,51.0,58.0,76.0,72.0,89.0,76.0,Germany
T. Alderweireld,41000000,87,CB,64.0,55.0,72.0,66.0,88.0,79.0,Belgium
Jordi Alba,40000000,87,LB,90.0,69.0,81.0,83.0,79.0,73.0,Spain
Thiago,50000000,87,CM,69.0,74.0,85.0,90.0,69.0,63.0,Spain
L. Insigne,52000000,87,CF,89.0,79.0,85.0,91.0,35.0,47.0,Italy
L. Sané,61000000,86,LW,95.0,81.0,79.0,86.0,38.0,70.0,Germany
Marquinhos,51500000,86,CB,74.0,41.0,73.0,70.0,86.0,77.0,Brazil
M. Škriniar,52000000,86,CB,69.0,41.0,59.0,66.0,87.0,82.0,Slovakia
M. Verratti,54500000,86,CM,65.0,60.0,84.0,90.0,79.0,66.0,Italy
